route	dt	hour	minute	travelDistance	trafficCongestion	travelDuration	travelDurationTraffic 
home-to-work	2015-03-14	00	00	40.674	None	1772	1800
home-to-work	2015-03-14	00	05	40.674	None	1772	1800
home-to-work	2015-03-14	00	10	40.674	None	1772	1808
home-to-work	2015-03-14	00	15	40.674	None	1772	1802
home-to-work	2015-03-14	00	20	40.674	None	1772	1800
home-to-work	2015-03-14	00	25	40.674	None	1772	1911
home-to-work	2015-03-14	00	30	40.674	None	1772	1829
home-to-work	2015-03-14	00	35	40.674	None	1772	1816
home-to-work	2015-03-14	00	40	40.674	None	1772	1800
home-to-work	2015-03-14	00	45	40.674	None	1772	1799
home-to-work	2015-03-14	00	55	40.674	None	1772	1806
home-to-work	2015-03-14	01	00	40.674	None	1772	1800
home-to-work	2015-03-14	01	05	40.674	None	1772	1805
home-to-work	2015-03-14	01	10	40.674	None	1772	1809
home-to-work	2015-03-14	01	15	40.674	None	1772	1825
home-to-work	2015-03-14	01	20	40.674	None	1772	1817
home-to-work	2015-03-14	01	25	40.674	None	1772	1793
home-to-work	2015-03-14	01	30	40.674	None	1772	1817
home-to-work	2015-03-14	01	35	40.674	None	1772	1788
home-to-work	2015-03-14	01	40	40.674	None	1772	1794
home-to-work	2015-03-14	01	45	40.674	None	1772	1787
home-to-work	2015-03-14	01	50	40.674	None	1772	1816
home-to-work	2015-03-14	01	55	40.674	None	1772	1790
home-to-work	2015-03-14	02	00	40.674	None	1772	1793
home-to-work	2015-03-14	02	05	40.674	None	1772	1791
home-to-work	2015-03-14	02	10	40.674	None	1772	1789
home-to-work	2015-03-14	02	15	40.674	None	1772	1787
home-to-work	2015-03-14	02	20	40.674	None	1772	1789
home-to-work	2015-03-14	02	25	40.674	None	1772	1809
home-to-work	2015-03-14	02	30	40.674	None	1772	1782
home-to-work	2015-03-14	02	35	40.674	None	1772	1802
home-to-work	2015-03-14	02	40	40.674	None	1772	1793
home-to-work	2015-03-14	02	45	40.674	None	1772	1797
home-to-work	2015-03-14	02	50	40.674	None	1772	1797
home-to-work	2015-03-14	02	55	40.674	None	1772	1796
